memcopy
blockSize,nsets1k,nsets2k,nsets4k,nsets8k,nsets16k,nsets32k,nsets64k,nsets128k
8,0.4688,0.4687,0.4687,0.4484,0.4477,0.4475,0.4475,0.4060
16,0.6777,0.6777,0.6675,0.6669,0.6668,0.6667,0.3735,0.1854
32,0.7822,0.7771,0.7766,0.7764,0.7763,0.3573,0.1543,0.0398
64,0.8319,0.8314,0.8312,0.8311,0.3491,0.1387,0.0268,0.0083
