whetstone
blockSize,nsets1k,nsets2k,nsets4k,nsets8k,nsets16k,nsets32k,nsets64k,nsets128k
8,0.0016,0.0016,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
16,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
32,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
64,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
