matmul
blockSize,nsets1k,nsets2k,nsets4k,nsets8k,nsets16k,nsets32k,nsets64k,nsets128k
8,0.0201,0.0054,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027
16,0.0037,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
32,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
64,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
