pi
blockSize,nsets1k,nsets2k,nsets4k,nsets8k,nsets16k,nsets32k,nsets64k,nsets128k
8,0.0035,0.0034,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033
16,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017
32,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
64,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
